item_name,alias,category,tier,tier_ordinal,sub_tier,sub_tier_ordinal,obtainability,is_unobtainable,is_unstable,demand_status,demand_ordinal,rarity_score,popularity_score,has_detailed_record,proxy_value_score
Cool Shades,,,EXCLUSIVE,9,,,,,,,,,,False,27.9
Marine Cape,,,EXCLUSIVE,9,,,,,,,,,,False,27.9
Marine Cap,,,EXCLUSIVE,9,,,,,,,,,,False,27.9
Sakamoto Glasses,,,EXCLUSIVE,9,,,,,,,,,,False,27.9
Prestige Candy Cane,PCC,Weapon,SS,8,High Tier,3.0,ANNIVERSARY,True,False,High Demand,3.0,10.0,9.0,True,41.0
Prestige Fruitbag,PBAG,Utility,SS,8,High Tier,3.0,ANNIVERSARY,True,False,Stable Demand,2.0,10.0,8.0,True,38.0
Chromatic All Seeing Eye,CASE,Utility Item,SS,8,High Tier,3.0,ANNIVERSARY,True,False,Stable Demand,2.0,10.0,7.0,True,37.0
Prestige Firework Daggers,PFD,,SS,8,High Tier,3.0,,,,,,,,False,24.8
Candy Cane,CC,Weapon,SS,8,High Tier,3.0,UNOB,True,True,High Demand,3.0,9.0,8.0,True,39.0
Cupid's All Seeing Eye,QASE,,SS,8,High Tier,3.0,,,,,,,,False,24.8
All Seeing Eye,ASE,Utility Item,SS,8,High Tier,3.0,STORE,False,False,High Demand,3.0,4.0,8.0,True,34.0
Prestige World Ender,PWE,Weapon,SS,8,Mid Tier,2.0,UNOB,True,True,High Demand,3.0,10.0,7.0,True,39.0
Prestige Firework Lancer,PFL,Weapon,SS,8,Mid Tier,2.0,ANNIVERSARY,True,False,High Demand,3.0,10.0,8.0,True,40.0
Prestige Inferno Rocket Blade,PIRB,Weapon,SS,8,Mid Tier,2.0,ANNIVERSARY,True,True,Stable Demand,2.0,10.0,7.0,True,37.0
Dominus Ultimus,,,SS,8,Mid Tier,2.0,,,,,,,,False,24.8
All Seeing Shamrock,,,SS,8,Mid Tier,2.0,,,,,,,,False,24.8
Prestige Firework Rocket Launcher,PFRL,,SS,8,Mid Tier,2.0,,,,,,,,False,24.8
Jester's Outfit,JFIT,,SS,8,Mid Tier,2.0,,,,,,,,False,24.8
Titan,,,SS,8,Low Tier,1.0,,,,,,,,False,24.8
Titan Shifter's Aura,,,SS,8,Low Tier,1.0,,,,,,,,False,24.8
Blessed Exalted Cupid Queen's Wings,BWINGS,,SS,8,Low Tier,1.0,,,,,,,,False,24.8
All Seeing Egg,BLO ASE,,SS,8,Low Tier,1.0,,,,,,,,False,24.8
All Seeing Ba'al,BASE,,SS,8,Low Tier,1.0,,,,,,,,False,24.8
Leo's Inferno Hagoromo,,,SS,8,Low Tier,1.0,,,,,,,,False,24.8
All Seeing Holly,HASE,,SS,8,Low Tier,1.0,,,,,,,,False,24.8
Yukio The Bunny,,,SS,8,Low Tier,1.0,,,,,,,,False,24.8
Soul King's Scarf,SKS,Vanity,A+,7,High Tier,3.0,DROP,False,False,Stable Demand,2.0,8.0,8.0,True,34.0
Cupid Queen's Maid Outfit,,,A+,7,High Tier,3.0,,,,,,,,False,21.7
Iceborn Candy Cane,ICC,,A+,7,High Tier,3.0,,,,,,,,False,21.7
Anomalized Mega-Pow,AMP,,A+,7,High Tier,3.0,,,,,,,,False,21.7
2M Bounty,Bounty,Currency / Service,A+,7,High Tier,3.0,GAMEPLAY,False,True,Low Demand,1.0,7.0,1.0,True,24.0
Bunyo The Bunny,,,A+,7,Mid Tier,2.0,,,,,,,,False,21.7
Troll Face,,,A+,7,Mid Tier,2.0,,,,,,,,False,21.7
Flower Bouquet,Bouquet,Support Weapon,A+,7,Mid Tier,2.0,UNOB,True,False,Stable Demand,2.0,9.0,7.0,True,34.0
World Ender,WE,,A+,7,Mid Tier,2.0,,,,,,,,False,21.7
Snowcap Scepter,,,A+,7,Mid Tier,2.0,,,,,,,,False,21.7
Blessed Cupid Queen's Scarf,BSCARF,,A+,7,Mid Tier,2.0,,,,,,,,False,21.7
Soul Cleaver,NAPOLEON,,A+,7,Low Tier,1.0,,,,,,,,False,21.7
Dragon Fruit,,,A+,7,Low Tier,1.0,,,,,,,,False,21.7
Inverted Spear Of Heaven,ISOH,,A+,7,Low Tier,1.0,,,,,,,,False,21.7
Devil Fruit Rod,DF ROD,Utility Tool,A,6,High Tier,3.0,CRAFTING,False,False,High Demand,3.0,7.0,9.0,True,34.0
Time-Rift Capsule,,,A,6,High Tier,3.0,,,,,,,,False,18.6
Blessed Cupid's Bow,BBOW,,A,6,High Tier,3.0,,,,,,,,False,18.6
Sickle of Sorrow,,,A,6,High Tier,3.0,,,,,,,,False,18.6
Epic Banana,,,A,6,High Tier,3.0,,,,,,,,False,18.6
Blessed Exalted Cupid Queen Outfit,BQFIT,,A,6,High Tier,3.0,,,,,,,,False,18.6
Hollow's World Ender,HWE,,A,6,High Tier,3.0,,,,,,,,False,18.6
Coyote Outfit,,,A,6,High Tier,3.0,,,,,,,,False,18.6
Kikoku,Kikoku,Mythical Weapon,A,6,High Tier,3.0,DROP,False,False,Stable Demand,2.0,7.0,7.0,True,30.0
Dark Blade,DB / Yoru,Mythical Weapon,A,6,High Tier,3.0,DROP,False,False,Stable Demand,2.0,7.0,8.0,True,31.0
Resurrected Ba'al's Head,RES HEAD,,A,6,High Tier,3.0,,,,,,,,False,18.6
Inferno Rocket Blade,IRB,,A,6,Mid Tier,2.0,,,,,,,,False,18.6
Firework Lancer,FL,,A,6,Mid Tier,2.0,,,,,,,,False,18.6
Head of Ba'al,,,A,6,Mid Tier,2.0,,,,,,,,False,18.6
Mochi Fruit,,,A,6,Mid Tier,2.0,,,,,,,,False,18.6
Soul King's Guitar,SKG,,A,6,Mid Tier,2.0,,,,,,,,False,18.6
Soul Fruit,,,A,6,Mid Tier,2.0,,,,,,,,False,18.6
Venom Fruit,,,A,6,Mid Tier,2.0,,,,,,,,False,18.6
Supreme Giftbox Crown,,,A,6,Mid Tier,2.0,,,,,,,,False,18.6
Nightfall Half Shroud,NFHS,,A,6,Mid Tier,2.0,,,,,,,,False,18.6
Cupid Queen's Wings,QWINGS,,A,6,Low Tier,1.0,,,,,,,,False,18.6
Nightfall Shroud,NFS,,A,6,Low Tier,1.0,,,,,,,,False,18.6
Stark Guns,SGUNS,,A,6,Low Tier,1.0,,,,,,,,False,18.6
Hover Pod,HPOD,,A,6,Low Tier,1.0,,,,,,,,False,18.6
Dark Skeletal Shark Mask,,,A,6,Low Tier,1.0,,,,,,,,False,18.6
Santa's Hat,,,A,6,Low Tier,1.0,,,,,,,,False,18.6
Flamingo Boat,,,A,6,Low Tier,1.0,,,,,,,,False,18.6
Exalted Cupid Queen Outfit,,,A-,5,High Tier,3.0,,,,,,,,False,15.5
True Ba'al's Guard,TBG,,A-,5,High Tier,3.0,,,,,,,,False,15.5
Virtuous Cupid Quinn's Wings,,,A-,5,High Tier,3.0,,,,,,,,False,15.5
V Festival Shield,,,A-,5,High Tier,3.0,,,,,,,,False,15.5
Ope Fruit,,,A-,5,High Tier,3.0,,,,,,,,False,15.5
Endbringer Wings,,,A-,5,High Tier,3.0,,,,,,,,False,15.5
Roger's Ace,Ace,Mythical Weapon,A-,5,Mid Tier,2.0,DROP,False,False,Stable Demand,2.0,7.0,6.0,True,27.0
