slug,name,shortcut,value,ci_low,ci_high,confidence,rarity,tier,demand,demand_ratio,trade_count,derivation,share_url,generated_at,n_trades_used,join_key
prestige-cupids-chakram,Prestige Cupid's Chakram,PCHAK,4914105.65,4176989.81,5651221.51,medium,Collectable,NEW,Low,0.81,429,ratio_chain,https://gpovalues.com/item/prestige-cupids-chakram,2026-08-19T22:15:35.370524+00:00,26739,prestige cupid's chakram
prestige-candy-cane,Prestige Candy Cane,PCC,3000000.0,2700000.0,3300000.0,medium,Collectable,SS,Stable,1.11,685,community_anchor,https://gpovalues.com/item/prestige-candy-cane,2026-08-19T22:15:35.370524+00:00,26739,prestige candy cane
prestige-world-ender,Prestige World Ender,PWE,2158479.04,1834707.2,2482250.9,medium,Collectable,SS,High,2.05,427,ratio_chain,https://gpovalues.com/item/prestige-world-ender,2026-08-19T22:15:35.370524+00:00,26739,prestige world ender
prestige-firework-lancer,Prestige Firework Lancer,PFL,1433694.19,1218640.06,1648748.33,medium,Collectable,SS,Low,0.51,664,ratio_chain,https://gpovalues.com/item/prestige-firework-lancer,2026-08-19T22:15:35.370524+00:00,26739,prestige firework lancer
prestige-inferno-rocket-blade,Prestige Inferno Rocket Blade,PIRB,1305243.08,1109456.61,1501029.54,medium,Collectable,SS,Low,0.58,382,ratio_chain,https://gpovalues.com/item/prestige-inferno-rocket-blade,2026-08-19T22:15:35.370524+00:00,26739,prestige inferno rocket blade
iceborn-candy-cane,Iceborn Candy Cane,ICC,764107.54,687696.78,840518.3,high,Collectable,S,Stable,1.25,1197,ratio_chain,https://gpovalues.com/item/iceborn-candy-cane,2026-08-19T22:15:35.370524+00:00,26739,iceborn candy cane
anomalized-mega-pow,Anomalized Mega-Pow,AMP,611949.11,489559.29,734338.93,low,Collectable,S,Low,0.77,53,ratio_chain,https://gpovalues.com/item/anomalized-mega-pow,2026-08-19T22:15:35.370524+00:00,26739,anomalized mega-pow
prestige-fruitbag,Prestige Fruitbag,PBAG,572154.01,514938.61,629369.42,high,Legendary,S,Stable,1.18,1181,ratio_chain,https://gpovalues.com/item/prestige-fruitbag,2026-08-19T22:15:35.370524+00:00,26739,prestige fruitbag
chromatic-all-seeing-eye,Chromatic All Seeing Eye,CASE,493525.6,419496.76,567554.43,medium,Mythical,S,Stable,1.47,679,ratio_chain,https://gpovalues.com/item/chromatic-all-seeing-eye,2026-08-19T22:15:35.370524+00:00,26739,chromatic all seeing eye
blessed-exalted-cupid-queen-outfit,Blessed Exalted Cupid Queen Outfit,BQFIT,412094.16,329675.32,494512.99,low,,A-,Stable,1.33,56,ratio_chain,https://gpovalues.com/item/blessed-exalted-cupid-queen-outfit,2026-08-19T22:15:35.370524+00:00,26739,blessed exalted cupid queen outfit
venom,Venom,VENOM,319464.99,287518.48,351411.48,high,Mythical,A-,Low,0.68,1119,ratio_chain,https://gpovalues.com/item/venom,2026-08-19T22:15:35.370524+00:00,26739,venom
mega-pow,Mega-Pow,MP,346485.39,294512.58,398458.2,medium,Legendary,A-,Stable,0.96,616,ratio_chain,https://gpovalues.com/item/mega-pow,2026-08-19T22:15:35.370524+00:00,26739,mega-pow
prestige-firework-daggers,Prestige Firework Daggers,PFD,373273.5,298618.8,447928.21,low,Collectable,S,Low,0.74,160,ratio_chain,https://gpovalues.com/item/prestige-firework-daggers,2026-08-19T22:15:35.370524+00:00,26739,prestige firework daggers
candy-cane,Candy Cane,CC,393212.39,353891.15,432533.63,high,Legendary,S,Stable,1.36,1391,ratio_chain,https://gpovalues.com/item/candy-cane,2026-08-19T22:15:35.370524+00:00,26739,candy cane
dominus-ultimus,Dominus Ultimus,DU,302701.78,257296.51,348107.04,medium,Collectable,S,Low,0.22,212,ratio_chain,https://gpovalues.com/item/dominus-ultimus,2026-08-19T22:15:35.370524+00:00,26739,dominus ultimus
prestige-firework-rocket-launcher,Prestige Firework Rocket Launcher,PFRL,294646.84,235717.47,353576.21,low,Collectable,S,Low,0.51,116,ratio_chain,https://gpovalues.com/item/prestige-firework-rocket-launcher,2026-08-19T22:15:35.370524+00:00,26739,prestige firework rocket launcher
all-seeing-shamrock,All Seeing Shamrock,SASE,285760.38,242896.32,328624.43,medium,Mythical,S,High,1.52,994,ratio_chain,https://gpovalues.com/item/all-seeing-shamrock,2026-08-19T22:15:35.370524+00:00,26739,all seeing shamrock
jesters-outfit,Jester's Outfit,JFIT,204593.65,173904.6,235282.7,medium,Collectable,S,Low,0.53,921,ratio_chain,https://gpovalues.com/item/jesters-outfit,2026-08-19T22:15:35.370524+00:00,26739,jester's outfit
titan-shifters-aura,Titan Shifter's Aura,TSA,193648.32,164601.08,222695.56,medium,,,Stable,1.25,743,ratio_chain,https://gpovalues.com/item/titan-shifters-aura,2026-08-19T22:15:35.370524+00:00,26739,titan shifter's aura
blackvalk,Blackvalk,BLV,111101.91,88881.53,133322.3,low,Legendary,VERY_UNSTABLE,Low,0.58,168,ratio_chain,https://gpovalues.com/item/blackvalk,2026-08-19T22:15:35.370524+00:00,26739,blackvalk
blessed-exalted-cupid-queens-wings,Blessed Exalted Cupid Queen's Wings,BWINGS,137165.59,116590.75,157740.42,medium,Collectable,S,High,1.53,230,ratio_chain,https://gpovalues.com/item/blessed-exalted-cupid-queens-wings,2026-08-19T22:15:35.370524+00:00,26739,blessed exalted cupid queen's wings
all-seeing-egg,All Seeing Egg,BLOASE,120000.0,102000.0,138000.0,medium,Mythical,S,Stable,1.08,808,ratio_chain,https://gpovalues.com/item/all-seeing-egg,2026-08-19T22:15:35.370524+00:00,26739,all seeing egg
all-seeing-baal,All Seeing Ba'al,BASE,114941.18,103447.07,126435.29,high,Mythical,S,Stable,1.19,1271,ratio_chain,https://gpovalues.com/item/all-seeing-baal,2026-08-19T22:15:35.370524+00:00,26739,all seeing ba'al
leos-inferno-hagoromo,Leo's Inferno Hagoromo,LIH,110207.8,99187.02,121228.59,high,Collectable,S,Stable,1.4,1023,ratio_chain,https://gpovalues.com/item/leos-inferno-hagoromo,2026-08-19T22:15:35.370524+00:00,26739,leo's inferno hagoromo
all-seeing-holly,All Seeing Holly,HASE,103449.63,93104.67,113794.6,high,Mythical,S,Low,0.78,1378,ratio_chain,https://gpovalues.com/item/all-seeing-holly,2026-08-19T22:15:35.370524+00:00,26739,all seeing holly
yukio-the-bunny,Yukio The Bunny,YB,95460.31,81141.26,109779.35,medium,Legendary,S,Low,0.25,573,ratio_chain,https://gpovalues.com/item/yukio-the-bunny,2026-08-19T22:15:35.370524+00:00,26739,yukio the bunny
soul-kings-scarf,Soul King's Scarf,SKS,104567.87,88882.68,120253.05,medium,Collectable,A+,Stable,1.24,720,ratio_chain,https://gpovalues.com/item/soul-kings-scarf,2026-08-19T22:15:35.370524+00:00,26739,soul king's scarf
goro,Goro,GORO,91964.28,78169.65,105758.93,medium,Legendary,B+,Stable,1.32,566,ratio_chain,https://gpovalues.com/item/goro,2026-08-19T22:15:35.370524+00:00,26739,goro
cupids-all-seeing-eye,Cupid's All Seeing Eye,CQASE,90850.25,81765.22,99935.28,high,Mythical,S,Low,0.62,1751,ratio_chain,https://gpovalues.com/item/cupids-all-seeing-eye,2026-08-19T22:15:35.370524+00:00,26739,cupid's all seeing eye
all-seeing-eye,All Seeing Eye,ASE,88036.59,79232.94,96840.25,high,Mythical,A+,High,2.75,2597,ratio_chain,https://gpovalues.com/item/all-seeing-eye,2026-08-19T22:15:35.370524+00:00,26739,all seeing eye
troll-face,Troll Face,TF,60000.0,48000.0,72000.0,low,Epic,VERY_UNSTABLE,High,5.62,86,ratio_chain,https://gpovalues.com/item/troll-face,2026-08-19T22:15:35.370524+00:00,26739,troll face
bunyo-the-bunny,Bunyo The Bunny,BB,57392.38,48783.53,66001.24,medium,Legendary,A+,Low,0.51,593,ratio_chain,https://gpovalues.com/item/bunyo-the-bunny,2026-08-19T22:15:35.370524+00:00,26739,bunyo the bunny
flower-bouquet,Flower Bouquet,FB,49541.22,42110.04,56972.41,medium,Legendary,A+,Low,0.45,496,ratio_chain,https://gpovalues.com/item/flower-bouquet,2026-08-19T22:15:35.370524+00:00,26739,flower bouquet
soul,Soul,SOUL,44526.26,40073.63,48978.89,high,Mythical,A-,Low,0.82,1291,ratio_chain,https://gpovalues.com/item/soul,2026-08-19T22:15:35.370524+00:00,26739,soul
world-ender,World Ender,WE,59251.68,53326.5,65176.84,high,Legendary,A+,High,1.82,1061,ratio_chain,https://gpovalues.com/item/world-ender,2026-08-19T22:15:35.370524+00:00,26739,world ender
blessed-cupid-queens-scarf,Blessed Cupid Queen's Scarf,BSCARF,50000.0,40000.0,60000.0,low,Collectable,A+,Low,0.41,62,ratio_chain,https://gpovalues.com/item/blessed-cupid-queens-scarf,2026-08-19T22:15:35.370524+00:00,26739,blessed cupid queen's scarf
snowcap-scepter,Snowcap Scepter,SCEP,50000.0,40000.0,60000.0,low,Legendary,A+,Low,0.15,97,ratio_chain,https://gpovalues.com/item/snowcap-scepter,2026-08-19T22:15:35.370524+00:00,26739,snowcap scepter
soul-cleaver,Soul Cleaver,NAPO,44731.35,38021.65,51441.05,medium,Mythical,A+,Low,0.84,708,ratio_chain,https://gpovalues.com/item/soul-cleaver,2026-08-19T22:15:35.370524+00:00,26739,soul cleaver
