slug,name,shortcut,value,ci_low,ci_high,confidence,rarity,tier,demand,demand_ratio,trade_count,derivation,share_url,image_url,generated_at,n_trades_used,join_key
prestige-cupids-chakram,Prestige Cupid's Chakram,PCHAK,5052515.92,4294638.53,5810393.3,medium,Collectable,NEW,Stable,1.41,354,ratio_chain,https://gpovalues.com/item/prestige-cupids-chakram,https://gpovalues.com/images/Prestige%20Cupid%27s%20Chakram.webp,2026-08-26T22:15:35.243959+00:00,35207,prestige cupid's chakram
prestige-candy-cane,Prestige Candy Cane,PCC,3000000.0,2700000.0,3300000.0,medium,Collectable,SS,Low,0.8,705,community_anchor,https://gpovalues.com/item/prestige-candy-cane,https://gpovalues.com/images/Prestige%20Candy%20Cane.webp,2026-08-26T22:15:35.243959+00:00,35207,prestige candy cane
prestige-world-ender,Prestige World Ender,PWE,1657679.91,1409027.92,1906331.89,medium,Collectable,SS,Stable,1.35,676,ratio_chain,https://gpovalues.com/item/prestige-world-ender,https://gpovalues.com/images/Prestige%20World%20Ender.webp,2026-08-26T22:15:35.243959+00:00,35207,prestige world ender
prestige-firework-lancer,Prestige Firework Lancer,PFL,1323642.4,1125096.05,1522188.77,medium,Collectable,SS,Low,0.56,977,ratio_chain,https://gpovalues.com/item/prestige-firework-lancer,https://gpovalues.com/images/Prestige%20Firework%20Lancer.webp,2026-08-26T22:15:35.243959+00:00,35207,prestige firework lancer
prestige-inferno-rocket-blade,Prestige Inferno Rocket Blade,PIRB,1237695.54,1052041.21,1423349.88,medium,Collectable,SS,Low,0.87,628,ratio_chain,https://gpovalues.com/item/prestige-inferno-rocket-blade,https://gpovalues.com/images/Prestige%20Inferno%20Rocket%20Blade.webp,2026-08-26T22:15:35.243959+00:00,35207,prestige inferno rocket blade
iceborn-candy-cane,Iceborn Candy Cane,ICC,728655.95,655790.36,801521.55,high,Collectable,S,Stable,1.11,1583,ratio_chain,https://gpovalues.com/item/iceborn-candy-cane,https://gpovalues.com/images/Iceborn%20Candy%20Cane.webp,2026-08-26T22:15:35.243959+00:00,35207,iceborn candy cane
venom,Venom,VENOM,569253.36,512328.02,626178.69,high,Mythical,A-,Stable,1.09,1545,ratio_chain,https://gpovalues.com/item/venom,https://gpovalues.com/images/Doku%20Doku%20No%20Mi%20%28Poison%20Poison%20Fruit%29.webp,2026-08-26T22:15:35.243959+00:00,35207,venom
anomalized-mega-pow,Anomalized Mega-Pow,AMP,598911.01,479128.81,718693.22,low,Collectable,S,Low,0.29,138,ratio_chain,https://gpovalues.com/item/anomalized-mega-pow,https://gpovalues.com/images/Anomalized%20Mega-Pow.webp,2026-08-26T22:15:35.243959+00:00,35207,anomalized mega-pow
mega-pow,Mega-Pow,MP,503998.4,428398.64,579598.16,medium,Legendary,A-,Stable,1.13,933,ratio_chain,https://gpovalues.com/item/mega-pow,https://gpovalues.com/images/Mega-Pow.webp,2026-08-26T22:15:35.243959+00:00,35207,mega-pow
soul,Soul,SOUL,455402.68,409862.42,500942.95,high,Mythical,A-,Stable,1.06,1597,ratio_chain,https://gpovalues.com/item/soul,https://gpovalues.com/images/Soul.webp,2026-08-26T22:15:35.243959+00:00,35207,soul
prestige-fruitbag,Prestige Fruitbag,PBAG,502109.96,451898.96,552320.95,high,Legendary,S,Stable,1.08,1578,ratio_chain,https://gpovalues.com/item/prestige-fruitbag,https://gpovalues.com/images/Prestige%20Fruitbag.webp,2026-08-26T22:15:35.243959+00:00,35207,prestige fruitbag
nightfall-half-shroud,Nightfall Half Shroud,NFHS,455098.47,364078.77,546118.16,low,Collectable,A-,Low,0.51,187,ratio_chain,https://gpovalues.com/item/nightfall-half-shroud,https://gpovalues.com/images/Nightfall%20Half%20Shroud.webp,2026-08-26T22:15:35.243959+00:00,35207,nightfall half shroud
chromatic-all-seeing-eye,Chromatic All Seeing Eye,CASE,462729.33,393319.93,532138.73,medium,Mythical,S,Stable,1.25,774,ratio_chain,https://gpovalues.com/item/chromatic-all-seeing-eye,https://gpovalues.com/images/Chromatic%20All%20Seeing%20Eye.webp,2026-08-26T22:15:35.243959+00:00,35207,chromatic all seeing eye
tori,Tori,TORI,350587.78,315529.0,385646.56,high,Mythical,A-,Low,0.82,1219,ratio_chain,https://gpovalues.com/item/tori,https://gpovalues.com/images/Tori%20Tori%20no%20Mi%2C%20Model%20Phoenix.webp,2026-08-26T22:15:35.243959+00:00,35207,tori
prestige-firework-daggers,Prestige Firework Daggers,PFD,400647.76,340550.6,460744.94,medium,Collectable,S,Low,0.53,366,ratio_chain,https://gpovalues.com/item/prestige-firework-daggers,https://gpovalues.com/images/Prestige%20Firework%20Daggers.webp,2026-08-26T22:15:35.243959+00:00,35207,prestige firework daggers
candy-cane,Candy Cane,CC,358318.08,322486.28,394149.89,high,Legendary,S,Stable,1.28,1452,ratio_chain,https://gpovalues.com/item/candy-cane,https://gpovalues.com/images/Candy%20Cane.webp,2026-08-26T22:15:35.243959+00:00,35207,candy cane
